mod_pres,week,col,val,pct_students
CCC_2014B,0.0,gender,F,0.8670212765957447
CCC_2014B,0.0,gender,M,0.8354330708661417
CCC_2014B,1.0,gender,F,0.8221024258760108
CCC_2014B,1.0,gender,M,0.8350515463917526
CCC_2014B,2.0,gender,F,0.9138888888888889
CCC_2014B,2.0,gender,M,0.9212662337662337
CCC_2014B,3.0,gender,F,0.8108882521489972
CCC_2014B,3.0,gender,M,0.7683946488294314
CCC_2014B,4.0,gender,F,0.8609467455621301
CCC_2014B,4.0,gender,M,0.8537005163511188
CCC_2014B,5.0,gender,F,0.7652439024390244
CCC_2014B,5.0,gender,M,0.7259786476868327
CCC_2014B,6.0,gender,F,0.7165109034267912
CCC_2014B,6.0,gender,M,0.6596715328467153
CCC_2014B,7.0,gender,F,0.689873417721519
CCC_2014B,7.0,gender,M,0.6563670411985019
CCC_2014B,8.0,gender,F,0.7147435897435898
CCC_2014B,8.0,gender,M,0.6619047619047619
CCC_2014B,9.0,gender,F,0.8317152103559871
CCC_2014B,9.0,gender,M,0.7801350048216008
CCC_2014B,10.0,gender,F,0.6179401993355482
CCC_2014B,10.0,gender,M,0.5442913385826772
CCC_2014B,11.0,gender,F,0.6161616161616161
CCC_2014B,11.0,gender,M,0.5381565906838454
CCC_2014B,12.0,gender,F,0.6498316498316499
CCC_2014B,12.0,gender,M,0.5748502994011976
CCC_2014B,13.0,gender,F,0.6700680272108843
CCC_2014B,13.0,gender,M,0.6219758064516129
CCC_2014B,14.0,gender,F,0.7465753424657534
CCC_2014B,14.0,gender,M,0.7406281661600811
CCC_2014B,15.0,gender,F,0.6725352112676056
CCC_2014B,15.0,gender,M,0.5944272445820433
CCC_2014B,16.0,gender,F,0.6353790613718412
CCC_2014B,16.0,gender,M,0.5658995815899581
CCC_2014B,17.0,gender,F,0.6145454545454545
CCC_2014B,17.0,gender,M,0.5646186440677966
CCC_2014B,18.0,gender,F,0.6642066420664207
CCC_2014B,18.0,gender,M,0.6027837259100642
CCC_2014B,19.0,gender,F,0.7761194029850746
CCC_2014B,19.0,gender,M,0.7277657266811279
CCC_2014B,20.0,gender,F,0.6828358208955224
CCC_2014B,20.0,gender,M,0.5747252747252747
CCC_2014B,21.0,gender,F,0.7018867924528301
CCC_2014B,21.0,gender,M,0.6484983314794216
CCC_2014B,22.0,gender,F,0.6436781609195402
CCC_2014B,22.0,gender,M,0.5523059617547806
CCC_2014B,23.0,gender,F,0.5846153846153846
CCC_2014B,23.0,gender,M,0.4881087202718007
CCC_2014B,24.0,gender,F,0.5408560311284046
CCC_2014B,24.0,gender,M,0.4691075514874142
CCC_2014B,25.0,gender,F,0.51953125
