mod_pres,week,dataplus,forumng,glossary,homepage,oucollaborate,oucontent,resource,subpage,url,ouelluminate,quiz,sharedsubpage,questionnaire,page,externalquiz,ouwiki,dualpane,folder,repeatactivity,htmlactivity
AAA_2013J,0.0,0.021505376344086023,0.7553763440860215,0.01881720430107527,0.9059139784946236,0.21505376344086022,0.8440860215053764,0.34946236559139787,0.7446236559139785,0.5134408602150538,,,,,,,,,,,
AAA_2013J,1.0,0.013404825737265416,0.7319034852546917,0.00804289544235925,0.9142091152815014,0.07506702412868632,0.8739946380697051,0.2734584450402145,0.8176943699731903,0.5737265415549598,,,,,,,,,,,
AAA_2013J,2.0,0.013513513513513514,0.7594594594594595,0.01891891891891892,0.9621621621621622,0.010810810810810811,0.9405405405405406,0.3108108108108108,0.9243243243243243,0.6,,,,,,,,,,,
AAA_2013J,3.0,0.016172506738544475,0.5283018867924528,0.01078167115902965,0.8194070080862533,0.005390835579514825,0.7412398921832885,0.12129380053908356,0.6064690026954178,0.42857142857142855,,,,,,,,,,,
AAA_2013J,4.0,0.02710027100271003,0.5203252032520326,0.005420054200542005,0.8509485094850948,0.0027100271002710027,0.7425474254742548,0.0948509485094851,0.6368563685636857,0.41192411924119243,,,,,,,,,,,
AAA_2013J,5.0,0.051630434782608696,0.5,0.029891304347826088,0.8478260869565217,,0.7690217391304348,0.11141304347826086,0.6222826086956522,0.4076086956521739,,,,,,,,,,,
AAA_2013J,6.0,0.03825136612021858,0.546448087431694,0.00819672131147541,0.8661202185792349,0.00273224043715847,0.7595628415300546,0.06830601092896176,0.6557377049180327,0.4207650273224044,,,,,,,,,,,
AAA_2013J,7.0,0.013623978201634877,0.5749318801089919,0.01634877384196185,0.9237057220708447,,0.8392370572207084,0.14713896457765668,0.7683923705722071,0.555858310626703,,,,,,,,,,,
AAA_2013J,8.0,0.00821917808219178,0.3917808219178082,0.005479452054794521,0.7698630136986301,,0.6164383561643836,0.06575342465753424,0.4684931506849315,0.3041095890410959,,,,,,,,,,,
AAA_2013J,9.0,0.0110803324099723,0.3545706371191136,0.00554016620498615,0.7534626038781164,0.00554016620498615,0.5761772853185596,0.08310249307479224,0.39335180055401664,0.21052631578947367,,,,,,,,,,,
AAA_2013J,10.0,,0.31666666666666665,,0.6527777777777778,0.002777777777777778,0.5527777777777778,0.058333333333333334,0.3638888888888889,0.19444444444444445,,,,,,,,,,,
AAA_2013J,11.0,0.008379888268156424,0.23184357541899442,0.002793296089385475,0.5027932960893855,,0.38268156424581007,0.04748603351955307,0.22905027932960895,0.12569832402234637,,,,,,,,,,,
AAA_2013J,12.0,0.002793296089385475,0.31564245810055863,0.00558659217877095,0.6284916201117319,,0.49162011173184356,0.05307262569832402,0.329608938547486,0.18994413407821228,,,,,,,,,,,
AAA_2013J,13.0,,0.36312849162011174,0.002793296089385475,0.7681564245810056,,0.6452513966480447,0.19273743016759776,0.5307262569832403,0.25139664804469275,,,,,,,,,,,
AAA_2013J,14.0,0.014044943820224719,0.4241573033707865,0.0056179775280898875,0.7949438202247191,0.0028089887640449437,0.6938202247191011,0.23595505617977527,0.547752808988764,0.28370786516853935,,,,,,,,,,,
AAA_2013J,15.0,0.01971830985915493,0.4394366197183099,0.0028169014084507044,0.8225352112676056,,0.7183098591549296,0.16338028169014085,0.6,0.3352112676056338,,,,,,,,,,,
AAA_2013J,16.0,0.011299435028248588,0.4717514124293785,0.011299435028248588,0.884180790960452,,0.8050847457627118,0.1977401129943503,0.731638418079096,0.4632768361581921,,,,,,,,,,,
AAA_2013J,17.0,0.0339943342776204,0.37960339943342775,,0.8045325779036827,0.0028328611898017,0.6657223796033994,0.12464589235127478,0.5070821529745042,0.24645892351274787,,,,,,,,,,,
AAA_2013J,18.0,0.1623931623931624,0.34472934472934474,0.005698005698005698,0.7606837606837606,0.005698005698005698,0.6296296296296297,0.1623931623931624,0.5156695156695157,0.2678062678062678,,,,,,,,,,,
AAA_2013J,19.0,0.1174785100286533,0.29512893982808025,0.0028653295128939827,0.664756446991404,0.0028653295128939827,0.5644699140401146,0.1174785100286533,0.4383954154727794,0.2693409742120344,,,,,,,,,,,
AAA_2013J,20.0,0.1037463976945245,0.34870317002881845,0.002881844380403458,0.723342939481268,0.002881844380403458,0.6167146974063401,0.16138328530259366,0.47262247838616717,0.22478386167146974,,,,,,,,,,,
AAA_2013J,21.0,0.11271676300578035,0.35260115606936415,0.002890173410404624,0.7572254335260116,,0.638728323699422,0.10982658959537572,0.5115606936416185,0.2514450867052023,,,,,,,,,,,
AAA_2013J,22.0,0.049132947976878616,0.3786127167630058,,0.8092485549132948,,0.6878612716763006,0.12716763005780346,0.569364161849711,0.34104046242774566,,,,,,,,,,,
AAA_2013J,23.0,0.05813953488372093,0.45348837209302323,0.0029069767441860465,0.8430232558139535,,0.75,0.1744186046511628,0.6656976744186046,0.44476744186046513,,,,,,,,,,,
AAA_2013J,24.0,0.038011695906432746,0.3567251461988304,0.0029239766081871343,0.7660818713450293,,0.6286549707602339,0.1695906432748538,0.52046783625731,0.2982456140350877,,,,,,,,,,,
AAA_2013J,25.0,0.011834319526627219,0.35798816568047337,0.0029585798816568047,0.7455621301775148,,0.6331360946745562,0.10946745562130178,0.45857988165680474,0.23076923076923078,,,,,,,,,,,
AAA_2013J,26.0,0.017964071856287425,0.3592814371257485,0.0029940119760479044,0.7065868263473054,0.0029940119760479044,0.5598802395209581,0.09281437125748503,0.4251497005988024,0.20658682634730538,,,,,,,,,,,
AAA_2013J,27.0,0.009036144578313253,0.34036144578313254,0.006024096385542169,0.6596385542168675,0.0030120481927710845,0.5210843373493976,0.10240963855421686,0.39156626506024095,0.21987951807228914,,,,,,,,,,,
AAA_2013J,28.0,0.00906344410876133,0.4199395770392749,,0.7190332326283988,,0.540785498489426,0.12386706948640483,0.49244712990936557,0.2990936555891239,,,,,,,,,,,
AAA_2013J,29.0,0.00911854103343465,0.5075987841945289,0.00303951367781155,0.817629179331307,,0.6322188449848024,0.3434650455927052,0.6565349544072948,0.364741641337386,,,,,,,,,,,
AAA_2013J,30.0,0.03048780487804878,0.5457317073170732,0.006097560975609756,0.8841463414634146,,0.7317073170731707,0.3384146341463415,0.7378048780487805,0.4847560975609756,,,,,,,,,,,
AAA_2013J,31.0,0.009146341463414634,0.4725609756097561,0.006097560975609756,0.7103658536585366,0.003048780487804878,0.5274390243902439,0.4115853658536585,0.5182926829268293,0.13109756097560976,,,,,,,,,,,
AAA_2013J,32.0,0.009202453987730062,0.44785276073619634,0.015337423312883436,0.7300613496932515,,0.49079754601226994,0.34049079754601225,0.44785276073619634,0.10736196319018405,,,,,,,,,,,
AAA_2013J,33.0,0.018404907975460124,0.44171779141104295,0.006134969325153374,0.6901840490797546,,0.4754601226993865,0.32515337423312884,0.4233128834355828,0.11349693251533742,,,,,,,,,,,
AAA_2013J,34.0,0.012269938650306749,0.6012269938650306,0.018404907975460124,0.8466257668711656,,0.558282208588957,0.4447852760736196,0.5797546012269938,0.09815950920245399,,,,,,,,,,,
AAA_2013J,35.0,,0.3188854489164087,,0.4179566563467492,,0.04953560371517028,0.030959752321981424,0.09287925696594428,0.02476780185758514,,,,,,,,,,,
AAA_2013J,36.0,,0.16718266253869968,,0.33126934984520123,,0.018575851393188854,0.006191950464396285,0.03715170278637771,0.018575851393188854,,,,,,,,,,,
AAA_2013J,37.0,,0.10526315789473684,,0.34365325077399383,,0.021671826625386997,0.0030959752321981426,0.03715170278637771,0.01238390092879257,,,,,,,,,,,
AAA_2013J,38.0,,0.03715170278637771,,0.21052631578947367,,0.009287925696594427,0.0030959752321981426,0.02786377708978328,0.01238390092879257,,,,,,,,,,,
AAA_2014J,0.0,0.031609195402298854,0.6839080459770115,0.02586206896551724,0.8620689655172413,0.1781609195402299,0.7787356321839081,0.35919540229885055,0.6609195402298851,0.39655172413793105,,,,,,,,,,,
AAA_2014J,1.0,0.005698005698005698,0.7008547008547008,0.011396011396011397,0.8888888888888888,0.05413105413105413,0.8404558404558404,0.24786324786324787,0.7692307692307693,0.452991452991453,,,,,,,,,,,
AAA_2014J,2.0,0.017142857142857144,0.7428571428571429,0.022857142857142857,0.9371428571428572,0.014285714285714285,0.8942857142857142,0.34285714285714286,0.8714285714285714,0.5771428571428572,,,,,,,,,,,
AAA_2014J,3.0,0.0028653295128939827,0.5186246418338109,0.011461318051575931,0.7936962750716332,0.008595988538681949,0.6790830945558739,0.12607449856733524,0.5873925501432665,0.37822349570200575,,,,,,,,,,,
AAA_2014J,4.0,0.028735632183908046,0.4827586206896552,0.005747126436781609,0.8017241379310345,0.0028735632183908046,0.6896551724137931,0.11494252873563218,0.5517241379310345,0.3333333333333333,,,,,,,,,,,
AAA_2014J,5.0,0.03768115942028986,0.4666666666666667,0.011594202898550725,0.8028985507246377,0.005797101449275362,0.6898550724637681,0.11014492753623188,0.553623188405797,0.32463768115942027,,,,,,,,,,,
AAA_2014J,6.0,0.029069767441860465,0.5290697674418605,0.0029069767441860465,0.8168604651162791,,0.7122093023255814,0.11627906976744186,0.6104651162790697,0.3546511627906977,,,,,,,,,,,
AAA_2014J,7.0,0.020348837209302327,0.5755813953488372,0.005813953488372093,0.8866279069767442,,0.7994186046511628,0.2005813953488372,0.752906976744186,0.4941860465116279,,,,,,,,,,,
AAA_2014J,8.0,0.008771929824561403,0.3567251461988304,0.005847953216374269,0.672514619883041,,0.5409356725146199,0.1023391812865497,0.43567251461988304,0.23976608187134502,,,,,,,,,,,
AAA_2014J,9.0,0.0058823529411764705,0.32941176470588235,,0.6911764705882353,0.0029411764705882353,0.5235294117647059,0.07647058823529412,0.3764705882352941,0.17352941176470588,,,,,,,,,,,
AAA_2014J,10.0,0.0029585798816568047,0.2869822485207101,,0.5976331360946746,,0.4467455621301775,0.0650887573964497,0.31952662721893493,0.16863905325443787,,,,,,,,,,,
AAA_2014J,11.0,0.002976190476190476,0.20833333333333334,,0.44047619047619047,,0.3273809523809524,0.044642857142857144,0.21428571428571427,0.10714285714285714,,,,,,,,,,,
AAA_2014J,12.0,,0.23880597014925373,0.005970149253731343,0.5522388059701493,0.0029850746268656717,0.4298507462686567,0.06567164179104477,0.31044776119402984,0.1373134328358209,,,,,,,,,,,
AAA_2014J,13.0,0.008955223880597015,0.35522388059701493,0.0029850746268656717,0.7313432835820896,0.0029850746268656717,0.5880597014925373,0.08059701492537313,0.3970149253731343,0.1761194029850746,,,,,,,,,,,
AAA_2014J,14.0,0.011940298507462687,0.3641791044776119,0.005970149253731343,0.7074626865671642,0.005970149253731343,0.5880597014925373,0.0955223880597015,0.41492537313432837,0.19402985074626866,,,,,,,,,,,
AAA_2014J,15.0,0.011976047904191617,0.4491017964071856,,0.7784431137724551,0.0029940119760479044,0.688622754491018,0.11377245508982035,0.5778443113772455,0.2844311377245509,,,,,,,,,,,
AAA_2014J,16.0,0.030120481927710843,0.5120481927710844,0.009036144578313253,0.8704819277108434,0.009036144578313253,0.7891566265060241,0.1686746987951807,0.7259036144578314,0.4427710843373494,,,,,,,,,,,
AAA_2014J,17.0,0.024096385542168676,0.3313253012048193,,0.6807228915662651,0.0030120481927710845,0.6114457831325302,0.12650602409638553,0.4427710843373494,0.21084337349397592,,,,,,,,,,,
AAA_2014J,18.0,0.11746987951807229,0.37650602409638556,0.006024096385542169,0.7108433734939759,0.0030120481927710845,0.5783132530120482,0.09939759036144578,0.48493975903614456,0.25,,,,,,,,,,,
AAA_2014J,19.0,0.13719512195121952,0.3231707317073171,0.003048780487804878,0.6585365853658537,0.009146341463414634,0.5487804878048781,0.13109756097560976,0.46646341463414637,0.23170731707317074,,,,,,,,,,,
